,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,WIN_PCT,LOSS_PCT,ADJEM
0,Abilene Christian,Slnd,27,9,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,No Seed,No Seed,2016,0.3333333333333333,0.6666666666666667,-15.5
1,Air Force,MWC,30,12,98.1,105.4,0.306,48.0,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47.0,51.3,33.4,34.9,67.9,-10.9,No Seed,No Seed,2016,0.4,0.6,-7.300000000000011
2,Akron,MAC,34,25,109.0,100.5,0.7187,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48.0,47.5,38.2,30.1,68.3,-1.4,No Seed,No Seed,2016,0.7352941176470589,0.2647058823529411,8.5
3,Alabama,SEC,33,18,105.4,96.3,0.7387,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,-0.6,No Seed,No Seed,2016,0.5454545454545454,0.4545454545454546,9.100000000000009
4,Alabama A&M,SWAC,28,10,98.3,113.6,0.1599,46.6,50.5,17.6,17.0,31.6,31.7,38.4,39.5,49.0,51.7,28.4,32.1,66.2,-15.1,No Seed,No Seed,2016,0.35714285714285715,0.6428571428571428,-15.299999999999997
5,Alabama St.,SWAC,29,12,98.0,110.8,0.197,45.8,51.2,17.2,18.3,31.4,30.0,31.7,45.0,43.6,51.6,33.3,33.7,69.8,-13.1,No Seed,No Seed,2016,0.41379310344827586,0.5862068965517242,-12.799999999999997
6,Albany,AE,32,23,104.7,102.1,0.5703,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,-4.0,No Seed,No Seed,2016,0.71875,0.28125,2.6000000000000085
7,Alcorn St.,SWAC,28,13,96.8,111.5,0.1647,45.6,51.0,21.1,17.3,34.8,31.9,38.4,39.7,45.3,48.6,30.8,37.0,66.5,-11.5,No Seed,No Seed,2016,0.4642857142857143,0.5357142857142857,-14.700000000000003
8,American,Pat,31,12,91.4,106.8,0.1433,49.0,51.6,22.1,19.2,23.5,30.2,31.7,40.1,47.7,53.7,34.1,31.1,62.2,-14.1,No Seed,No Seed,2016,0.3870967741935484,0.6129032258064516,-15.399999999999991
9,Appalachian St.,SB,31,9,100.8,110.6,0.2554,47.2,51.2,21.0,15.9,33.0,32.3,39.1,39.8,43.1,48.8,35.6,38.6,71.3,-15.2,No Seed,No Seed,2016,0.2903225806451613,0.7096774193548387,-9.799999999999997
10,Arizona,P12,34,25,116.1,95.7,0.9022,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,R64,6.0,2016,0.7352941176470589,0.2647058823529411,20.39999999999999
11,Arizona St.,P12,32,15,108.3,100.0,0.7131,48.1,52.0,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68.9,-4.2,No Seed,No Seed,2016,0.46875,0.53125,8.299999999999997
12,Arkansas,SEC,32,16,109.5,99.0,0.7602,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71.0,-4.6,No Seed,No Seed,2016,0.5,0.5,10.5
13,Arkansas Little Rock,SB,33,28,107.6,96.7,0.7732,51.9,45.9,15.6,21.0,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12.0,2016,0.8484848484848485,0.1515151515151515,10.899999999999991
14,Arkansas Pine Bluff,SWAC,33,8,87.8,109.6,0.0719,45.0,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.8,No Seed,No Seed,2016,0.24242424242424243,0.7575757575757576,-21.799999999999997
15,Arkansas St.,SB,29,9,99.1,107.4,0.2826,45.8,47.1,18.0,14.9,28.0,31.2,40.1,38.0,45.1,43.5,31.5,35.6,73.3,-13.9,No Seed,No Seed,2016,0.3103448275862069,0.6896551724137931,-8.300000000000011
16,Army,Pat,32,18,98.6,105.2,0.3222,49.7,49.4,18.5,16.4,31.0,26.8,31.7,32.0,49.3,48.2,33.4,34.9,73.3,-9.3,No Seed,No Seed,2016,0.5625,0.4375,-6.6000000000000085
17,Auburn,SEC,31,11,100.4,102.4,0.4438,47.3,50.5,18.9,17.8,27.9,32.3,41.0,40.1,44.3,49.6,34.0,34.8,72.5,-8.3,No Seed,No Seed,2016,0.3548387096774194,0.6451612903225806,-2.0
18,Austin Peay,OVC,34,16,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30.0,47.0,31.3,51.0,53.3,34.7,36.4,70.5,-11.3,R64,16.0,2016,0.47058823529411764,0.5294117647058824,-5.699999999999989
19,Ball St.,MAC,34,20,102.1,102.1,0.4994,52.2,46.8,19.9,16.5,28.0,26.3,34.8,38.6,49.9,43.7,36.9,35.1,66.2,-8.3,No Seed,No Seed,2016,0.5882352941176471,0.4117647058823529,0.0
20,Baylor,B12,33,21,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,R64,5.0,2016,0.6363636363636364,0.36363636363636365,20.099999999999994
21,Belmont,OVC,31,19,113.4,109.2,0.6073,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,72.7,-4.9,No Seed,No Seed,2016,0.6129032258064516,0.3870967741935484,4.200000000000003
22,Bethune Cookman,MEAC,30,12,97.5,110.6,0.1889,47.1,49.7,18.5,18.0,32.0,35.7,31.0,34.5,47.4,48.4,31.1,34.6,67.8,-13.8,No Seed,No Seed,2016,0.4,0.6,-13.099999999999994
23,Binghamton,AE,30,8,89.3,102.1,0.1763,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45.0,49.0,28.4,33.7,66.6,-17.3,No Seed,No Seed,2016,0.26666666666666666,0.7333333333333334,-12.799999999999997
24,Boise St.,MWC,30,18,108.2,99.7,0.719,51.7,52.0,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36.0,70.3,-3.6,No Seed,No Seed,2016,0.6,0.4,8.5
25,Boston College,ACC,32,7,95.0,99.1,0.382,47.5,52.4,20.0,19.5,21.8,28.6,25.9,37.0,46.9,50.0,32.3,38.2,67.8,-12.2,No Seed,No Seed,2016,0.21875,0.78125,-4.099999999999994
